,ticker,open,eps,div
177,EL,203.17,5.09,1.92 (0.95%)
178,EVRG,63.80,2.52,2.02 (3.18%)
179,ES,83.22,2.78,2.14 (2.58%)
180,RE,278.92,10.31,6.20 (2.22%)
181,EXC,45.15,2.37,1.45 (3.22%)
182,EXPE,111.55,3.34,1.36 (1.22%)
183,EXPD,76.30,3.62,1.00 (1.31%)
184,EXR,102.70,3.17,3.60 (3.51%)
185,XOM,69.63,3.43,3.48 (4.99%)
186,FFIV,141.43,7.08,N/A (N/A)
187,FB,200.09,6.26,N/A (N/A)
188,FAST,36.81,1.36,0.88 (2.39%)
189,FRT,127.40,3.39,4.20 (3.30%)
190,FDX,151.42,0.28,2.60 (1.59%)
191,FIS,138.44,1.98,1.40 (1.02%)
192,FITB,31.36,3.02,0.96 (3.10%)
193,FE,48.45,2.16,1.56 (3.22%)
194,FRC,117.82,5.10,0.76 (0.65%)
195,FISV,116.62,2.08,N/A (N/A)
196,FLT,304.00,10.67,N/A (N/A)
197,FLIR,52.58,1.95,0.68 (1.29%)
198,FLS,48.01,1.88,0.76 (1.57%)
199,FMC,100.74,3.85,1.60 (1.59%)
200,F,9.39,0.40,0.60 (6.39%)
201,FTNT,106.40,2.26,N/A (N/A)
202,FTV,76.64,7.64,0.28 (0.37%)
203,FBHS,66.10,2.92,0.96 (1.47%)
204,FOXA,37.19,2.40,0.46 (1.25%)
205,FOX,36.28,2.40,0.46 (1.28%)
206,BEN,26.33,2.35,1.08 (4.12%)
207,FCX,12.86,0.16,0.20 (1.54%)
208,GPS,17.37,2.14,0.97 (5.81%)
209,GRMN,97.85,4.10,2.28 (2.33%)
210,IT,154.11,2.73,N/A (N/A)
211,GD,181.07,N/A,N/A (N/A)
212,GE,11.02,-0.62,0.04 (0.36%)
213,GIS,52.68,3.10,1.96 (3.76%)
214,GM,36.34,6.14,1.52 (4.19%)
215,GPC,106.21,5.45,3.05 (2.90%)
216,GILD,66.31,2.10,2.52 (3.81%)
217,GL,106.56,6.58,0.69 (0.65%)
218,GPN,180.30,2.48,0.78 (0.44%)
219,GS,231.97,22.38,5.00 (2.16%)
220,GWW,331.56,17.08,5.76 (1.71%)
221,HRB,23.39,2.03,1.04 (4.44%)
222,HAL,24.54,1.36,0.72 (2.92%)
223,HBI,14.89,1.60,0.60 (4.04%)
224,HOG,37.31,2.56,1.50 (4.01%)
225,HIG,61.06,4.69,1.20 (1.97%)
226,HAS,102.78,2.06,2.72 (2.66%)
227,HCA,143.62,10.00,1.60 (1.12%)
228,PEAK,31.98,N/A,1.48 (4.62%)
229,HP,42.63,-0.34,2.84 (6.67%)
230,HSIC,68.10,3.31,N/A (N/A)
231,HSY,145.29,6.06,3.09 (2.14%)
232,HES,64.52,-0.69,1.00 (1.55%)
233,HPE,15.80,0.77,0.48 (2.99%)
234,HLT,109.04,3.16,0.60 (0.55%)
235,HFC,50.89,4.99,1.40 (2.75%)
236,HOLX,53.05,-0.76,N/A (N/A)
237,HD,218.21,10.04,5.44 (2.50%)
238,HON,176.56,8.56,3.60 (2.04%)
239,HRL,44.61,1.80,0.93 (2.09%)
240,HST,18.36,1.55,0.80 (4.36%)
241,HPQ,20.33,2.07,0.70 (3.46%)
242,HUM,363.92,18.78,2.20 (0.60%)
243,HBAN,15.35,1.28,0.60 (3.91%)
244,HII,252.55,14.65,4.12 (1.63%)
245,IEX,169.23,5.57,2.00 (1.20%)
246,IDXX,257.38,4.82,N/A (N/A)
247,INFO,75.28,0.93,N/A (N/A)
248,ITW,178.02,7.59,4.28 (2.41%)
249,ILMN,323.54,6.53,N/A (N/A)
250,IR,133.95,5.56,2.12 (1.59%)
251,INTC,57.39,4.27,1.26 (2.20%)
252,ICE,92.99,3.68,1.10 (1.19%)
253,IBM,134.55,8.60,6.48 (4.79%)
254,INCY,90.84,1.87,N/A (N/A)
255,IP,46.51,3.41,2.05 (4.40%)
256,IPG,22.55,1.68,0.94 (4.17%)
257,IFF,121.31,3.40,3.00 (2.48%)
258,INTU,261.27,5.98,2.12 (0.81%)
259,ISRG,592.26,11.01,N/A (N/A)
260,IVZ,18.26,1.17,1.24 (6.81%)
261,IPGP,148.82,4.83,N/A (N/A)
262,IQV,148.05,1.20,N/A (N/A)
263,IRM,31.35,1.38,2.47 (7.88%)
264,JKHY,147.62,3.60,1.60 (1.09%)
265,JEC,84.79,6.09,N/A (N/A)
266,JBHT,114.53,4.22,1.04 (0.91%)
267,SJM,102.60,4.90,3.52 (3.45%)
268,JNJ,143.72,5.24,3.80 (2.65%)
269,JCI,40.75,6.49,1.04 (2.56%)
270,JPM,138.15,10.13,3.60 (2.61%)
271,JNPR,24.29,1.05,0.76 (3.14%)
272,KSU,154.16,5.68,1.60 (1.04%)
273,K,66.42,2.12,2.28 (3.45%)
274,KEY,20.45,1.61,0.74 (3.63%)
275,KEYS,104.89,3.25,N/A (N/A)
276,KMB,135.24,5.83,4.12 (3.05%)
277,KIM,20.17,0.75,1.12 (5.49%)
278,KMI,20.49,0.91,1.00 (4.88%)
279,KLAC,175.90,7.12,3.40 (1.93%)
280,KSS,50.92,4.34,2.68 (5.31%)
281,KHC,31.70,-8.87,1.60 (5.04%)
282,KR,28.69,1.95,0.64 (2.23%)
283,LB,17.92,1.33,1.20 (6.70%)
284,LHX,199.21,7.93,3.00 (1.51%)
285,LH,167.86,7.59,N/A (N/A)
286,LRCX,290.41,13.58,4.60 (1.58%)
287,LW,84.31,3.24,0.80 (0.95%)
288,LVS,69.58,2.45,3.08 (4.52%)
289,LEG,51.50,2.22,1.60 (3.10%)
290,LDOS,93.46,4.59,1.36 (1.49%)
291,LEN,57.46,6.06,0.16 (0.28%)
292,LLY,127.88,8.26,2.96 (2.36%)
293,LNC,61.20,4.09,1.60 (2.62%)
294,LIN,209.32,9.04,3.50 (1.67%)
295,LKQ,36.07,1.39,N/A (N/A)
296,LMT,387.40,21.03,9.60 (2.48%)
297,L,51.54,1.79,0.25 (0.49%)
298,LOW,119.66,3.73,2.20 (1.84%)
299,LYB,94.52,9.46,4.20 (4.43%)
300,MTB,170.34,13.93,4.40 (2.59%)
301,MAC,26.17,0.57,3.00 (11.56%)
302,M,16.19,3.10,1.51 (9.42%)
303,MRO,13.33,1.09,0.20 (1.50%)
304,MPC,61.34,4.64,2.12 (3.46%)
305,MKTX,372.61,5.29,2.04 (0.55%)
306,MAR,148.92,3.87,1.92 (1.29%)
307,MMC,112.35,2.94,1.82 (1.65%)
308,MLM,274.52,9.15,2.20 (0.80%)
309,MAS,47.47,2.29,0.54 (1.14%)
310,MA,295.20,6.72,1.60 (0.54%)
311,MKC,167.71,5.24,2.48 (1.48%)
312,MXIM,60.56,2.78,1.92 (3.17%)
313,MCD,196.60,7.62,5.00 (2.55%)
314,MCK,137.75,-3.36,1.64 (1.15%)
315,MDT,114.11,3.52,2.16 (1.89%)
316,MRK,89.35,3.58,2.44 (2.74%)
317,MET,51.28,7.48,1.76 (3.44%)
318,MTD,775.36,21.80,N/A (N/A)
319,MGM,33.23,0.00,0.52 (1.58%)
320,MCHP,102.44,1.53,1.47 (1.43%)
321,MU,53.00,5.51,N/A (N/A)
322,MSFT,154.30,5.30,2.04 (1.32%)
323,MAA,128.51,2.30,4.00 (3.12%)
324,MHK,135.73,49.90,N/A (N/A)
325,TAP,52.54,0.71,2.28 (4.35%)
326,MDLZ,54.40,2.71,1.14 (2.11%)
327,MNST,63.06,1.99,N/A (N/A)
328,MCO,236.67,6.82,2.00 (0.85%)
329,MS,51.00,4.68,1.40 (2.75%)
330,MOS,20.25,-0.09,0.20 (1.03%)
331,MSI,161.74,5.99,2.56 (1.59%)
332,MSCI,259.84,6.98,2.72 (1.05%)
333,MYL,18.90,0.09,N/A (N/A)
334,NDAQ,106.27,3.15,1.88 (1.77%)
335,NOV,23.65,-14.96,0.20 (0.84%)
336,NTAP,63.46,4.03,1.92 (3.03%)
337,NFLX,316.26,3.12,N/A (N/A)
338,NWL,18.92,-1.11,0.92 (4.86%)
339,NEM,40.47,3.37,0.56 (1.38%)
340,NWSA,13.78,-0.30,0.20 (1.46%)
341,NWS,14.23,-0.30,0.20 (1.42%)
342,NEE,240.73,6.69,5.00 (2.08%)
343,NLSN,19.81,-3.54,1.11 (5.56%)
344,NKE,100.19,2.68,0.98 (0.98%)
345,NI,27.36,1.24,0.80 (2.93%)
346,NBL,22.49,-2.37,0.48 (2.11%)
347,JWN,39.80,3.48,1.48 (3.77%)
348,NSC,190.88,10.27,3.76 (1.97%)
349,NTRS,109.20,6.72,2.80 (2.57%)
350,NOC,345.56,17.62,5.28 (1.53%)
351,NLOK,25.78,N/A,0.50 (1.91%)
352,NCLH,55.32,4.41,N/A (N/A)
353,NRG,39.51,3.81,0.12 (0.30%)
354,NUE,57.20,5.86,1.60 (2.80%)
355,NVDA,229.69,3.90,0.64 (0.29%)
356,NVR,"3,820.00",215.31,N/A (N/A)
357,ORLY,443.69,17.34,N/A (N/A)
